Construct,M,SD,Min,Max
Perceived Usefulness (PU),6.0,0.6440611887195307,4.333333333333333,7.0
Perceived Ease of Use (PEOU),5.604166666666666,0.7015195147888827,4.666666666666667,7.0
Perceived Enjoyment (PE),5.875,0.758897836290186,4.0,7.0
Perceived Safety (PS),5.895833333333334,0.7670892555145886,4.333333333333333,7.0
Behavioral Intention (BI),6.104166666666667,0.663534307913146,4.666666666666667,7.0
