Component,SS_Loadings,Proportion_Variance,Cumulative_Variance
Factor 1,2.8271645555841682,0.18847763703894455,0.18847763703894455
Factor 2,1.728197176317908,0.11521314508786054,0.3036907821268051
Factor 3,2.487695756685442,0.16584638377902947,0.4695371659058346
Factor 4,1.2178403878861737,0.08118935919241158,0.5507265250982462
Factor 5,0.8735639249105001,0.05823759499403334,0.6089641200922795
