Variable,B,SE,t,p,CI_Lower,CI_Upper,Beta,Beta_CI_Lower,Beta_CI_Upper
Intercept,1.5469206766338064,1.2740622731402598,1.2141641026862962,0.25010859040805805,-1.2572714795805249,4.351112832848138,,,
Perceived Usefulness,0.3056179473253593,0.36465486886040244,0.8381019243770369,0.4198119474264054,-0.496982007591549,1.1082179022422676,0.29664880338660793,-0.4823967936011041,1.0756944003743198
Perceived Ease of Use,-0.04403534938861697,0.18756076978042285,-0.23477910354158335,0.8186932440579036,-0.4568538202906919,0.36878312151345793,-0.04655623163452968,-0.48300723341305385,0.38989477014399454
Perceived Enjoyment,0.4484576328444989,0.30343170735144,1.4779524419479582,0.16747284731574333,-0.21939105213728938,1.1163063178262873,0.5129102190719903,-0.2509220590146287,1.2767424971586094
Perceived Safety,0.05692683821647704,0.20144549633104983,0.28259176429005434,0.7827364489700555,-0.38645170977545823,0.5003053862084124,0.06581116518844204,-0.44676356717158344,0.5783858975484675
