,PU,PEOU,PE,PS,BI
PU,1.0,0.3934690595457061,0.8335247062451072,0.5997264372053075,0.7453224020182659
PEOU,0.3934690595457061,1.0,0.20696653775344923,0.2073373937136267,0.18996626173647935
PE,0.8335247062451072,0.20696653775344923,1.0,0.6378101156063333,0.7925137705775567
PS,0.5997264372053075,0.2073373937136267,0.6378101156063333,1.0,0.5612057735384548
BI,0.7453224020182659,0.18996626173647935,0.7925137705775567,0.5612057735384548,1.0
